"Date","Price","Open","High","Low","Vol.","Change %"
"20-12-2023","21,150.15","21,543.50","21,593.00","21,087.35","363.89B","-1.41%"
"19-12-2023","21,453.10","21,477.65","21,505.05","21,337.75","249.75B","0.16%"
"18-12-2023","21,418.65","21,434.80","21,482.80","21,365.35","249.67B","-0.18%"
"15-12-2023","21,456.65","21,287.45","21,492.30","21,235.30","508.76B","1.29%"
"14-12-2023","21,182.70","21,110.40","21,210.90","21,074.45","334.41B","1.23%"
"13-12-2023","20,926.35","20,929.75","20,950.00","20,769.50","260.27B","0.10%"
"12-12-2023","20,906.40","21,018.55","21,037.90","20,867.15","244.87B","-0.43%"
"11-12-2023","20,997.10","20,965.30","21,026.10","20,923.70","212.92B","0.13%"
"08-12-2023","20,969.40","20,934.10","21,006.10","20,862.70","292.44B","0.33%"
"07-12-2023","20,901.15","20,932.40","20,941.25","20,850.80","274.99B","-0.17%"
"06-12-2023","20,937.70","20,950.75","20,961.95","20,852.15","359.21B","0.40%"
"05-12-2023","20,855.10","20,808.90","20,864.05","20,711.15","421.01B","0.81%"
"04-12-2023","20,686.80","20,601.95","20,702.65","20,507.75","381.11B","2.07%"
"01-12-2023","20,267.90","20,194.10","20,291.55","20,183.70","265.81B","0.67%"
"30-11-2023","20,133.15","20,108.50","20,158.70","20,015.85","486.59B","0.18%"
"29-11-2023","20,096.60","19,976.55","20,104.65","19,956.30","236.24B","1.04%"
"28-11-2023","19,889.70","19,844.65","19,916.85","19,800.00","229.60B","0.48%"
"24-11-2023","19,794.70","19,809.60","19,832.85","19,768.85","145.90B","-0.04%"
"23-11-2023","19,802.00","19,828.45","19,875.15","19,786.75","170.02B","-0.05%"
"22-11-2023","19,811.85","19,784.00","19,825.55","19,703.85","184.50B","0.14%"
"21-11-2023","19,783.40","19,770.90","19,829.10","19,754.05","194.97B","0.45%"
"20-11-2023","19,694.00","19,731.15","19,756.45","19,670.50","173.78B","-0.19%"
"17-11-2023","19,731.80","19,674.75","19,806.00","19,667.45","236.83B","-0.17%"
"16-11-2023","19,765.20","19,674.70","19,875.25","19,627.00","282.69B","0.46%"
"15-11-2023","19,675.45","19,651.40","19,693.20","19,579.65","291.47B","1.19%"
"13-11-2023","19,443.55","19,486.75","19,494.40","19,414.75","189.28B","-0.42%"
"12-11-2023","19,525.55","19,547.25","19,547.25","19,510.25","37.31B","0.52%"
"10-11-2023","19,425.35","19,351.85","19,451.30","19,329.45","152.22B","0.15%"
"09-11-2023","19,395.30","19,457.40","19,463.90","19,378.35","208.42B","-0.25%"
"08-11-2023","19,443.50","19,449.60","19,464.40","19,401.50","194.97B","0.19%"
"07-11-2023","19,406.70","19,404.05","19,423.50","19,329.10","198.66B","-0.03%"
"06-11-2023","19,411.75","19,345.85","19,423.00","19,309.70","180.69B","0.94%"
"03-11-2023","19,230.60","19,241.00","19,276.25","19,210.90","189.52B","0.51%"
"02-11-2023","19,133.25","19,120.00","19,175.25","19,064.15","245.60B","0.76%"
"01-11-2023","18,989.15","19,064.05","19,096.05","18,973.70","194.10B","-0.47%"
"31-10-2023","19,079.60","19,232.95","19,233.70","19,056.45","206.05B","-0.32%"
"30-10-2023","19,140.90","19,053.40","19,158.50","18,940.00","180.13B","0.49%"
"27-10-2023","19,047.25","18,928.75","19,076.15","18,926.65","205.20B","1.01%"
"26-10-2023","18,857.25","19,027.25","19,041.70","18,837.85","300.36B","-1.39%"
"25-10-2023","19,122.15","19,286.45","19,347.30","19,074.15","225.29B","-0.83%"
"23-10-2023","19,281.75","19,521.60","19,556.85","19,257.85","176.04B","-1.34%"
"20-10-2023","19,542.65","19,542.15","19,593.80","19,518.70","198.34B","-0.42%"
"19-10-2023","19,624.70","19,545.20","19,681.80","19,512.35","230.31B","-0.24%"
"18-10-2023","19,671.10","19,820.45","19,840.95","19,659.95","198.94B","-0.71%"
"17-10-2023","19,811.50","19,843.20","19,849.75","19,775.65","185.85B","0.40%"
